Environments,FEDORA,https://libfeddev1.library.emory.edu:8443/fedora/,PIDMAN,https://pidqas.library.emory.edu/domains/30/
Time,PM_Pid,PM_Label,PM_URI,PM_Target_URI,PM_Access_URI,In_Fedora?
2016-08-31 15:03:48,1d408,Salman Rushdie born-digital archives — unspecified file,https://pidqas.library.emory.edu/ark/1d408/,https://fedora.library.emory.edu:8443/fedora/objects/emory:1d408,http://pidqas.library.emory.edu/ark:/25593/1d408,No
2016-08-31 15:03:48,1d41d,Salman Rushdie born-digital archives — unspecified file,https://pidqas.library.emory.edu/ark/1d41d/,https://fedora.library.emory.edu:8443/fedora/objects/emory:1d41d,http://pidqas.library.emory.edu/ark:/25593/1d41d,No
2016-08-31 15:03:48,1d42j,Salman Rushdie born-digital archives — unspecified file,https://pidqas.library.emory.edu/ark/1d42j/,https://fedora.library.emory.edu:8443/fedora/objects/emory:1d42j,http://pidqas.library.emory.edu/ark:/25593/1d42j,No
2016-08-31 15:03:48,1d43p,Salman Rushdie born-digital archives — unspecified file,https://pidqas.library.emory.edu/ark/1d43p/,https://fedora.library.emory.edu:8443/fedora/objects/emory:1d43p,http://pidqas.library.emory.edu/ark:/25593/1d43p,No
2016-08-31 15:03:48,1d44t,Salman Rushdie born-digital archives — unspecified file,https://pidqas.library.emory.edu/ark/1d44t/,https://fedora.library.emory.edu:8443/fedora/objects/emory:1d44t,http://pidqas.library.emory.edu/ark:/25593/1d44t,No
2016-08-31 15:03:48,1d45z,Salman Rushdie born-digital archives — unspecified file,https://pidqas.library.emory.edu/ark/1d45z/,https://fedora.library.emory.edu:8443/fedora/objects/emory:1d45z,http://pidqas.library.emory.edu/ark:/25593/1d45z,No
2016-08-31 15:03:48,1d463,Salman Rushdie born-digital archives — unspecified file,https://pidqas.library.emory.edu/ark/1d463/,https://fedora.library.emory.edu:8443/fedora/objects/emory:1d463,http://pidqas.library.emory.edu/ark:/25593/1d463,No
2016-08-31 15:03:48,1d477,Salman Rushdie born-digital archives — unspecified file,https://pidqas.library.emory.edu/ark/1d477/,https://fedora.library.emory.edu:8443/fedora/objects/emory:1d477,http://pidqas.library.emory.edu/ark:/25593/1d477,No
2016-08-31 15:03:48,1d48c,Salman Rushdie born-digital archives — unspecified file,https://pidqas.library.emory.edu/ark/1d48c/,https://fedora.library.emory.edu:8443/fedora/objects/emory:1d48c,http://pidqas.library.emory.edu/ark:/25593/1d48c,No
2016-08-31 15:03:48,1d49h,Salman Rushdie born-digital archives — unspecified file,https://pidqas.library.emory.edu/ark/1d49h/,https://fedora.library.emory.edu:8443/fedora/objects/emory:1d49h,http://pidqas.library.emory.edu/ark:/25593/1d49h,No
2016-08-31 15:03:48,1d4bn,Salman Rushdie born-digital archives — unspecified file,https://pidqas.library.emory.edu/ark/1d4bn/,https://marbl.library.emory.edu/collections/rushdie/documents/emory:1d4bn,http://pidqas.library.emory.edu/ark:/25593/1d4bn,No
2016-08-31 15:03:48,1d4cs,Salman Rushdie born-digital archives — unspecified file,https://pidqas.library.emory.edu/ark/1d4cs/,https://marbl.library.emory.edu/collections/rushdie/documents/emory:1d4cs,http://pidqas.library.emory.edu/ark:/25593/1d4cs,No
2016-08-31 15:03:48,1d4dx,Salman Rushdie born-digital archives — unspecified file,https://pidqas.library.emory.edu/ark/1d4dx/,https://marbl.library.emory.edu/collections/rushdie/documents/emory:1d4dx,http://pidqas.library.emory.edu/ark:/25593/1d4dx,No
2016-08-31 15:03:48,1d4f2,Salman Rushdie born-digital archives — unspecified file,https://pidqas.library.emory.edu/ark/1d4f2/,https://marbl.library.emory.edu/collections/rushdie/documents/emory:1d4f2,http://pidqas.library.emory.edu/ark:/25593/1d4f2,No
2016-08-31 15:03:48,1d4g6,Salman Rushdie born-digital archives — unspecified file,https://pidqas.library.emory.edu/ark/1d4g6/,https://marbl.library.emory.edu/collections/rushdie/documents/emory:1d4g6,http://pidqas.library.emory.edu/ark:/25593/1d4g6,No
2016-08-31 15:03:48,1d4hb,Salman Rushdie born-digital archives — unspecified file,https://pidqas.library.emory.edu/ark/1d4hb/,https://marbl.library.emory.edu/collections/rushdie/documents/emory:1d4hb,http://pidqas.library.emory.edu/ark:/25593/1d4hb,No
2016-08-31 15:03:49,1d4jg,Salman Rushdie born-digital archives — unspecified file,https://pidqas.library.emory.edu/ark/1d4jg/,https://marbl.library.emory.edu/collections/rushdie/documents/emory:1d4jg,http://pidqas.library.emory.edu/ark:/25593/1d4jg,No
2016-08-31 15:03:49,1d4km,Salman Rushdie born-digital archives — unspecified file,https://pidqas.library.emory.edu/ark/1d4km/,https://marbl.library.emory.edu/collections/rushdie/documents/emory:1d4km,http://pidqas.library.emory.edu/ark:/25593/1d4km,No
2016-08-31 15:03:49,1d4mr,Salman Rushdie born-digital archives — unspecified file,https://pidqas.library.emory.edu/ark/1d4mr/,https://marbl.library.emory.edu/collections/rushdie/documents/emory:1d4mr,http://pidqas.library.emory.edu/ark:/25593/1d4mr,No
2016-08-31 15:03:49,1d4nw,Salman Rushdie born-digital archives — unspecified file,https://pidqas.library.emory.edu/ark/1d4nw/,https://marbl.library.emory.edu/collections/rushdie/documents/emory:1d4nw,http://pidqas.library.emory.edu/ark:/25593/1d4nw,No
2016-08-31 15:03:49,1d4p1,Salman Rushdie born-digital archives — unspecified file,https://pidqas.library.emory.edu/ark/1d4p1/,https://marbl.library.emory.edu/collections/rushdie/documents/emory:1d4p1,http://pidqas.library.emory.edu/ark:/25593/1d4p1,No
2016-08-31 15:03:49,1d4q5,Salman Rushdie born-digital archives — unspecified file,https://pidqas.library.emory.edu/ark/1d4q5/,https://marbl.library.emory.edu/collections/rushdie/documents/emory:1d4q5,http://pidqas.library.emory.edu/ark:/25593/1d4q5,No
2016-08-31 15:03:49,1d4r9,Salman Rushdie born-digital archives — unspecified file,https://pidqas.library.emory.edu/ark/1d4r9/,https://marbl.library.emory.edu/collections/rushdie/documents/emory:1d4r9,http://pidqas.library.emory.edu/ark:/25593/1d4r9,No
2016-08-31 15:03:49,1d4sf,Salman Rushdie born-digital archives — unspecified file,https://pidqas.library.emory.edu/ark/1d4sf/,https://marbl.library.emory.edu/collections/rushdie/documents/emory:1d4sf,http://pidqas.library.emory.edu/ark:/25593/1d4sf,No
2016-08-31 15:03:49,1d4tk,Salman Rushdie born-digital archives — unspecified file,https://pidqas.library.emory.edu/ark/1d4tk/,https://marbl.library.emory.edu/collections/rushdie/documents/emory:1d4tk,http://pidqas.library.emory.edu/ark:/25593/1d4tk,No
2016-08-31 15:03:49,1d4vq,Salman Rushdie born-digital archives — unspecified file,https://pidqas.library.emory.edu/ark/1d4vq/,https://marbl.library.emory.edu/collections/rushdie/documents/emory:1d4vq,http://pidqas.library.emory.edu/ark:/25593/1d4vq,No
2016-08-31 15:03:49,1d4wv,Salman Rushdie born-digital archives — unspecified file,https://pidqas.library.emory.edu/ark/1d4wv/,https://marbl.library.emory.edu/collections/rushdie/documents/emory:1d4wv,http://pidqas.library.emory.edu/ark:/25593/1d4wv,No
2016-08-31 15:03:49,1d4x0,Salman Rushdie born-digital archives — unspecified file,https://pidqas.library.emory.edu/ark/1d4x0/,https://marbl.library.emory.edu/collections/rushdie/documents/emory:1d4x0,http://pidqas.library.emory.edu/ark:/25593/1d4x0,No
2016-08-31 15:03:49,1d4z4,Salman Rushdie born-digital archives — unspecified file,https://pidqas.library.emory.edu/ark/1d4z4/,https://marbl.library.emory.edu/collections/rushdie/documents/emory:1d4z4,http://pidqas.library.emory.edu/ark:/25593/1d4z4,No
2016-08-31 15:03:49,1d50c,Salman Rushdie born-digital archives — unspecified file,https://pidqas.library.emory.edu/ark/1d50c/,https://marbl.library.emory.edu/collections/rushdie/documents/emory:1d50c,http://pidqas.library.emory.edu/ark:/25593/1d50c,No
2016-08-31 15:03:49,1d51h,Salman Rushdie born-digital archives — unspecified file,https://pidqas.library.emory.edu/ark/1d51h/,https://marbl.library.emory.edu/collections/rushdie/documents/emory:1d51h,http://pidqas.library.emory.edu/ark:/25593/1d51h,No
2016-08-31 15:03:49,1d52n,Salman Rushdie born-digital archives — unspecified file,https://pidqas.library.emory.edu/ark/1d52n/,https://marbl.library.emory.edu/collections/rushdie/documents/emory:1d52n,http://pidqas.library.emory.edu/ark:/25593/1d52n,No
